Time,Mode,Side,Signal_Delay_sec,Exec_Delay_sec,Price_Before,Price_After
2026-03-17 03:30:01,LIVE,LONG,0.0870,0.5552,74080.6,74077.0
2026-03-17 04:00:00,LIVE,LONG,0.1060,0.5572,2329.93,2329.86
2026-03-17 05:00:00,LIVE,LONG,0.1424,0.4395,74191.5,74134.25
2026-03-17 05:00:01,LIVE,LONG,0.8987,0.4587,74191.5,74139.56666666667
2026-03-17 05:00:02,LIVE,LONG,1.6807,0.3948,74191.5,74144.6
2026-03-17 05:45:00,LIVE,LONG,0.0433,0.4502,2358.11,2358.12
2026-03-17 09:30:01,LIVE,LONG,0.1483,0.4347,2363.54,2363.79
2026-03-17 11:00:00,LIVE,LONG,0.1041,0.4975,75157.3,75157.4
2026-03-17 14:00:00,LIVE,LONG,0.1332,0.4833,2306.35,2307.0
2026-03-17 16:30:00,LIVE,LONG,0.1428,0.4526,74269.6,74285.0
2026-03-17 19:00:00,LIVE,LONG,0.0962,0.5030,73701.2,73708.6
2026-03-17 19:30:00,LIVE,LONG,0.0581,0.4601,2327.25,2326.9
2026-03-17 20:15:00,LIVE,LONG,0.0532,0.4777,74027.7,73877.05
2026-03-17 20:15:01,LIVE,LONG,0.9354,0.4196,74041.4,73933.16666666667
2026-03-17 20:15:02,LIVE,LONG,1.7124,0.3799,74045.3,73959.75
2026-03-17 20:30:00,LIVE,LONG,0.1410,0.4065,73764.1,73920.22
2026-03-18 00:00:28,LIVE,LONG,27.4432,0.4596,73913.2,73910.5
2026-03-18 01:30:00,LIVE,LONG,0.1120,0.4531,74244.0,74077.3
2026-03-18 01:30:01,LIVE,LONG,0.9769,0.4094,2327.92,2328.16
2026-03-18 02:00:01,LIVE,LONG,0.1005,0.4445,74480.0,74211.56666666667
2026-03-18 02:00:02,LIVE,LONG,1.2877,0.4067,74480.0,74278.675
2026-03-18 02:30:00,LIVE,LONG,0.0405,0.4362,74374.0,74297.72
2026-03-18 05:30:00,LIVE,LONG,0.1440,0.4523,2335.4,2335.03
2026-03-18 09:30:00,LIVE,LONG,0.1006,0.4258,2328.83,2328.83
2026-03-18 10:45:01,LIVE,LONG,0.0498,0.4131,74385.1,74312.28333333334
2026-03-18 10:45:01,LIVE,LONG,1.2591,0.3846,74385.1,74322.68571428572
2026-03-18 10:45:02,LIVE,LONG,1.9609,0.3550,74385.1,74330.4875
2026-03-18 11:00:00,LIVE,LONG,0.1394,0.4131,74299.9,74327.1
2026-03-18 11:00:01,LIVE,LONG,0.9278,0.3944,2330.05,2329.565
2026-03-18 15:30:01,LIVE,LONG,0.0861,0.6121,2316.5,2325.07
